,Lower_edge,Upper_edge,Centre
0,0.0,1e-05,5e-06
1,1e-05,0.001,0.000505
2,0.001,0.00698603,0.003993015
3,0.00698603,0.0129721,0.009979065
4,0.0129721,0.0189581,0.0159651
5,0.0189581,0.0249441,0.0219511
6,0.0249441,0.0309301,0.0279371
7,0.0309301,0.0369162,0.03392315
8,0.0369162,0.0429022,0.039909200000000006
9,0.0429022,0.0488882,0.0458952
10,0.0488882,0.0548743,0.051881250000000004
11,0.0548743,0.0608603,0.057867299999999997
12,0.0608603,0.0668463,0.0638533
13,0.0668463,0.0728323,0.06983929999999999
14,0.0728323,0.0788184,0.07582535
15,0.0788184,0.0848044,0.0818114
16,0.0848044,0.0907904,0.0877974
17,0.0907904,0.0967764,0.09378339999999999
18,0.0967764,0.102762,0.0997692
19,0.102762,0.108749,0.1057555
20,0.108749,0.114735,0.11174200000000001
21,0.114735,0.120721,0.117728
22,0.120721,0.126707,0.12371399999999999
23,0.126707,0.132693,0.12969999999999998
24,0.132693,0.138679,0.135686
25,0.138679,0.144665,0.141672
26,0.144665,0.150651,0.147658
27,0.150651,0.156637,0.153644
28,0.156637,0.162623,0.15963
29,0.162623,0.168609,0.16561599999999999
30,0.168609,0.174595,0.171602
31,0.174595,0.180581,0.177588
32,0.180581,0.186567,0.18357400000000001
33,0.186567,0.192553,0.18956
34,0.192553,0.198539,0.195546
35,0.198539,0.204525,0.201532
36,0.204525,0.210511,0.207518
37,0.210511,0.216497,0.213504
38,0.216497,0.222483,0.21949
39,0.222483,0.228469,0.225476
40,0.228469,0.234455,0.231462
41,0.234455,0.240441,0.237448
42,0.240441,0.246427,0.24343399999999998
43,0.246427,0.252413,0.24942
44,0.252413,0.258399,0.255406
45,0.258399,0.264385,0.26139199999999996
46,0.264385,0.270371,0.267378
47,0.270371,0.276357,0.273364
48,0.276357,0.282343,0.27935
49,0.282343,0.288329,0.28533600000000003
50,0.288329,0.294315,0.29132199999999997
51,0.294315,0.300301,0.297308
52,0.300301,0.306287,0.30329399999999995
53,0.306287,0.312273,0.30928
54,0.312273,0.318259,0.31526600000000005
55,0.318259,0.324246,0.3212525
56,0.324246,0.330232,0.327239
57,0.330232,0.336218,0.333225
58,0.336218,0.342204,0.33921100000000004
59,0.342204,0.34819,0.345197
60,0.34819,0.354176,0.351183
61,0.354176,0.360162,0.35716899999999996
62,0.360162,0.366148,0.363155
63,0.366148,0.372134,0.369141
64,0.372134,0.37812,0.375127
65,0.37812,0.384106,0.38111300000000004
66,0.384106,0.390092,0.38709899999999997
