,Pin,500keV,1000keV,1500keV,2000keV,2500keV
0,0.0,0.0,2.9382411798182404e-10,1.3984251461048572e-09,3.4481506839347196e-09,4.295208770590677e-09
1,1.0,0.0,2.4487951656387004e-10,1.9312977044210386e-10,3.8306925092251286e-09,5.73957442126041e-09
2,2.0,0.0,2.8787982529353312e-11,8.693257952695278e-10,3.3881531599012224e-09,4.7548875792330095e-09
3,3.0,0.0,1.0857640459764525e-10,1.7117751858932126e-09,3.798686636280957e-09,4.651781859342629e-09
4,4.0,0.0,2.8810774048037487e-10,1.911586202153001e-09,2.86824467000006e-09,4.5746108989155725e-09
5,5.0,0.0,1.1668869964537864e-10,1.401216414709941e-09,2.9827729676230657e-09,3.2994548888790035e-09
6,6.0,0.0,7.890180134375e-11,1.4884164188907976e-09,2.017802291273445e-09,5.307927241281019e-09
7,7.0,0.0,3.3060887856325173e-10,1.5541984561626612e-09,4.841964960698513e-09,7.65065291641836e-09
8,8.0,0.0,2.90312153070983e-10,1.9315738003689442e-09,3.4997099295821567e-09,6.591179330205524e-09
9,9.0,0.0,1.2884164641784175e-10,1.6366548565773207e-09,3.6894111945553797e-09,5.863435610340488e-09
10,10.0,0.0,1.9671396635455108e-10,3.2316612924543914e-09,4.299436525159407e-09,5.683715984064408e-09
11,11.0,0.0,2.190255135251308e-10,3.6621253893135087e-09,6.259163252760008e-09,6.7566116144696455e-09
12,12.0,0.0,3.2653430976022555e-10,2.3562324832174717e-09,4.595238472340403e-09,5.0019367806765725e-09
13,13.0,0.0,2.0217162098372875e-10,1.926896199926667e-09,4.599935237779932e-09,5.738913402387088e-09
14,14.0,0.0,2.7932757974471555e-10,3.0823015243845727e-09,5.166186677268957e-09,6.749415761922432e-09
15,15.0,0.0,4.4318382083524316e-10,3.4834342031318195e-09,6.137322618391297e-09,7.3307251507340075e-09
16,16.0,0.0,4.062563448682219e-10,4.419882698046539e-09,6.39447222367575e-09,9.793140887359472e-09
17,17.0,0.0,1.840337068385699e-10,2.305575140762296e-09,4.736308688062402e-09,7.010430039248696e-09
18,18.0,0.0,3.2413914864973194e-10,1.807264802373411e-09,3.01950594980281e-09,3.9066911020941945e-09
19,19.0,0.0,4.829840552923103e-10,3.3744978727346542e-09,5.400000979588601e-09,7.612839127201624e-09
20,20.0,0.0,4.2128164303881717e-10,1.9368185560906763e-09,6.335259748697547e-09,8.456497766247879e-09
21,21.0,0.0,1.5515249290069683e-10,1.2920959062891113e-09,3.639970902064194e-09,4.2955823695717295e-09
22,22.0,0.0,3.9453697148779074e-10,1.8259700213156557e-09,4.360558381318894e-09,6.341458359527323e-09
23,23.0,0.0,2.342200758085439e-10,2.5922686987910203e-09,5.181374629519026e-09,8.019804228230495e-09
24,24.0,0.0,2.6797169764012984e-10,2.985610817550304e-09,5.3151983579707e-09,7.448179066005225e-09
25,25.0,0.0,3.9058908553270545e-10,3.48532045111498e-09,4.998580784330728e-09,6.95505286660643e-09
26,26.0,0.0,5.117910663186577e-10,3.8835185338722534e-09,6.081740172768017e-09,8.31501607766039e-09
27,27.0,0.0,6.568904279337274e-10,3.1158423834658654e-09,5.242393602061472e-09,7.081119579006635e-09
28,28.0,0.0,4.901509412648533e-10,2.0660617677058498e-09,5.092362187726406e-09,7.152688950642143e-09
29,29.0,0.0,4.2263723694608507e-10,2.846351350293645e-09,5.048160051105885e-09,4.917699112339443e-09
30,30.0,0.0,4.4450484742720185e-10,3.4742245429010456e-09,6.797741475188325e-09,8.491100936288612e-09
31,31.0,0.0,5.456531171095078e-10,3.173725448342844e-09,6.305446132603646e-09,7.512115121476332e-09
32,32.0,0.0,4.124808159896116e-10,2.2673248554593448e-09,6.397841530840313e-09,8.594842943532762e-09
33,33.0,1.67376875e-13,5.882053206602094e-10,3.0552633383240337e-09,7.1131121639571e-09,8.216873985640454e-09
34,34.0,0.0,4.711555108303228e-10,2.8040073737574375e-09,5.8018413070041935e-09,6.272708602551236e-09
35,35.0,0.0,5.56389152192357e-10,4.650282807584693e-09,8.112053892995963e-09,1.0873549817549393e-08
36,36.0,0.0,8.378060488831138e-10,3.913252238700729e-09,8.296872399386469e-09,1.0334513054593929e-08
37,37.0,0.0,5.046738386758387e-10,4.492263021546137e-09,7.678774030783918e-09,1.084194339447512e-08
38,38.0,0.0,5.732101742312488e-10,3.7829514990398295e-09,6.345955960561313e-09,9.89264171075558e-09
39,39.0,1.330125e-13,3.439866259516403e-10,4.343555324619406e-09,6.6142511401429555e-09,8.678246651797672e-09
40,40.0,0.0,6.468252825846075e-10,3.7060912541439478e-09,6.900349071891481e-09,8.910473749497117e-09
41,41.0,0.0,9.524926693043998e-10,5.8856923537860074e-09,8.85452638712992e-09,9.880888340021695e-09
