,Pin,500keV,1000keV,1500keV,2000keV,2500keV
0,0.0,0.0,3.22196625e-10,2.08605271875e-09,8.19747625e-09,9.280314999999999e-09
1,1.0,0.0,2.8884862499999997e-10,4.566146875e-10,1.010650875e-08,1.9677812812500005e-08
2,2.0,0.0,4.9814968749999995e-11,1.4818212812499998e-09,9.0521065625e-09,1.1302945312500002e-08
3,3.0,0.0,1.5012625e-10,3.859125e-09,1.1576800625000001e-08,1.5592991062499997e-08
4,4.0,0.0,4.0582656249999997e-10,4.212261375e-09,7.055282093749999e-09,1.1887983437500001e-08
5,5.0,0.0,2.076949375e-10,3.5058902812500004e-09,6.4023634375e-09,7.813978562500001e-09
6,6.0,0.0,1.049365625e-10,2.94233953125e-09,4.36022621875e-09,1.435949071875e-08
7,7.0,0.0,6.370300624999999e-10,3.976378625e-09,1.4998315062499998e-08,2.8116316562500002e-08
8,8.0,0.0,4.4818325e-10,4.5102002187499995e-09,9.050244687500001e-09,2.1803485937499993e-08
9,9.0,0.0,1.5993468749999998e-10,4.27256340625e-09,1.07881408125e-08,1.847322e-08
10,10.0,0.0,3.270663125e-10,8.42581165625e-09,1.4332831249999998e-08,1.85137559375e-08
11,11.0,0.0,3.872761875e-10,1.2187394093750002e-08,2.3491572125000003e-08,2.79941825e-08
12,12.0,0.0,6.04631375e-10,6.653679750000001e-09,1.3239725624999999e-08,1.55148554375e-08
13,13.0,0.0,3.6107728124999997e-10,5.554151125e-09,1.43606090625e-08,1.922877e-08
14,14.0,0.0,5.9506296875e-10,9.841662281250002e-09,1.9292002624999998e-08,2.3962067812499998e-08
15,15.0,0.0,1.5269779375e-09,1.3179327812499996e-08,2.6938891437500004e-08,3.475699243750001e-08
16,16.0,0.0,1.0879842500000001e-09,1.8423232593750002e-08,2.86302226875e-08,4.5531115000000006e-08
17,17.0,0.0,3.74440625e-10,6.710135437499999e-09,1.70286858125e-08,2.3622090437500002e-08
18,18.0,0.0,7.934086875e-10,4.9341560312500016e-09,1.0305443312499999e-08,1.247157096875e-08
19,19.0,0.0,1.0620649374999999e-09,1.2491947999999999e-08,2.085334871875e-08,2.8787416249999996e-08
20,20.0,0.0,1.04407184375e-09,6.121238e-09,2.37367625e-08,3.480109968749999e-08
21,21.0,0.0,2.216381875e-10,2.66311928125e-09,1.08532135e-08,1.478940153125e-08
22,22.0,0.0,8.338345e-10,5.306666375000001e-09,1.6848039187500003e-08,2.5968691875e-08
23,23.0,0.0,5.8260828125e-10,1.0000039468750001e-08,2.4511025937500002e-08,4.07080546875e-08
24,24.0,0.0,8.580294375000001e-10,1.4121797968750002e-08,2.7918052468750007e-08,4.201544925e-08
25,25.0,0.0,9.6509215625e-10,1.3861164187499998e-08,1.898666165625e-08,2.6470743749999993e-08
26,26.0,0.0,1.16677896875e-09,1.4932284749999998e-08,2.6098185937499996e-08,3.763908721874999e-08
27,27.0,0.0,1.4150487500000004e-09,1.024877609375e-08,1.9584732749999996e-08,2.8590674687499996e-08
28,28.0,0.0,1.10921040625e-09,7.26264403125e-09,2.1452549687499995e-08,2.7046148906249994e-08
29,29.0,0.0,6.517655e-10,9.2138135625e-09,1.8942309312500002e-08,2.176011528125e-08
30,30.0,0.0,1.3788150625e-09,1.3300237343749999e-08,2.9107525375e-08,4.224766653125001e-08
31,31.0,0.0,1.8483863750000002e-09,1.3677437281249997e-08,2.7876046250000003e-08,3.619792562499999e-08
32,32.0,0.0,8.257049687500001e-10,8.9444311875e-09,2.8920213312500003e-08,4.0218110000000005e-08
33,33.0,1.67376875e-13,2.01385871875e-09,1.5188270125e-08,4.1382290125000006e-08,4.8804608749999996e-08
