,Pin,500keV,1000keV,1500keV,2000keV,2500keV
0,0.0,1.9883690625000006e-10,1.0213538124999999e-07,3.7563143749999996e-07,5.350619062499999e-07,6.349194687500002e-07
1,1.0,1.6605623749999998e-10,1.0408084687499998e-07,4.0601096875000017e-07,5.88437e-07,6.704996874999998e-07
2,2.0,1.5477740624999998e-10,9.435588437499999e-08,3.53710340625e-07,5.171987187499998e-07,6.127973031250003e-07
3,3.0,1.5243889062499998e-10,9.852491875e-08,3.5606228124999996e-07,5.291581562500001e-07,6.152941874999998e-07
4,4.0,1.5720540625e-10,9.6608378125e-08,3.611936562500001e-07,5.411955937499998e-07,6.368381250000001e-07
5,5.0,1.81300803125e-10,1.0512882500000003e-07,3.5442187499999994e-07,5.209841875e-07,5.898881562500001e-07
6,6.0,2.0644356250000004e-10,1.052437875e-07,3.9624415625e-07,5.7394975e-07,6.668707500000001e-07
7,7.0,8.113447187499999e-11,6.701001875e-08,2.9165796875e-07,4.349119375e-07,4.861150625e-07
8,8.0,7.1371509375e-11,6.607606250000002e-08,2.6296612500000006e-07,3.8874093750000004e-07,4.655115625000001e-07
9,9.0,5.841302812499999e-11,5.9075837500000005e-08,2.2079266249999998e-07,3.52939125e-07,4.1023121874999994e-07
10,10.0,5.8752409375e-11,5.950309062500002e-08,2.2730153124999997e-07,3.68955375e-07,4.12019953125e-07
11,11.0,5.3587274999999997e-11,5.6309718750000005e-08,2.33954875e-07,3.50115875e-07,4.2673140625000006e-07
12,12.0,6.11457e-11,6.2950371875e-08,2.3640390624999998e-07,3.763151875e-07,4.3558399375000005e-07
13,13.0,6.662836874999999e-11,6.709844062499998e-08,2.6327884375000003e-07,4.1144815625000006e-07,4.4787204062500003e-07
14,14.0,7.971314062500001e-11,6.113984374999999e-08,2.4471833750000004e-07,3.734658124999999e-07,4.1650540624999984e-07
15,15.0,2.401258843749999e-11,4.55482625e-08,1.81648890625e-07,2.71622375e-07,3.5235109375e-07
16,16.0,2.4791409062499995e-11,4.0933978124999995e-08,1.9540223124999998e-07,3.2193328124999994e-07,3.6159878124999996e-07
17,17.0,2.1637195000000002e-11,3.50075859375e-08,1.8010730625000004e-07,2.8688232499999995e-07,3.422389062500001e-07
18,18.0,2.1356776562499995e-11,3.404174687500001e-08,1.5861852812499994e-07,2.4850135937499995e-07,2.94905128125e-07
19,19.0,1.5439940312499996e-11,3.612882500000001e-08,1.6552085937500002e-07,2.4855160000000007e-07,3.1355834375000006e-07
20,20.0,1.8625850312499998e-11,3.5388062499999994e-08,1.7062879062499998e-07,2.6555513437500005e-07,3.466146875e-07
21,21.0,2.1015797500000003e-11,3.523025625e-08,1.6866429062500002e-07,2.38887865625e-07,2.877799687499999e-07
22,22.0,2.2723173124999996e-11,4.2912382187500004e-08,1.6790317812500004e-07,2.7387702812499997e-07,3.45448e-07
23,23.0,2.637611e-11,4.028123125e-08,1.76768090625e-07,2.7345037500000004e-07,3.1279312499999994e-07
24,24.0,8.701000624999998e-12,2.574764625e-08,1.3142994687499999e-07,2.10885509375e-07,2.534918125e-07
25,25.0,8.455156250000001e-12,1.9876518749999998e-08,1.2196269999999996e-07,1.9124850625e-07,2.3581950624999999e-07
26,26.0,7.691836875e-12,2.2178380625e-08,1.1190295624999997e-07,1.76224490625e-07,2.17396403125e-07
27,27.0,6.570991874999998e-12,2.36301359375e-08,1.0279559062499997e-07,1.91511621875e-07,2.247462e-07
28,28.0,6.1851509375e-12,2.1823926249999998e-08,1.0035997187500001e-07,1.70419040625e-07,2.1827112187499996e-07
29,29.0,5.4086493750000004e-12,1.94580040625e-08,1.0542281875e-07,1.7733630999999993e-07,2.2469891875000002e-07
30,30.0,5.0005984375e-12,2.08454371875e-08,1.204758875e-07,1.88017159375e-07,2.3101348749999995e-07
31,31.0,8.966521875e-12,2.441925375e-08,1.3365447062500001e-07,1.9092159687499997e-07,2.2295017781250002e-07
32,32.0,9.643304062499999e-12,2.0069223125000005e-08,1.2431365624999995e-07,1.9295637812500003e-07,2.128407625e-07
33,33.0,1.1134055625e-11,2.816181875e-08,1.3072882812499995e-07,2.0859481875000003e-07,2.53677034375e-07
34,34.0,3.1508934375000005e-12,1.62602215625e-08,8.478549062500002e-08,1.5165449374999995e-07,1.8963148125e-07
35,35.0,3.266858125e-12,1.7018780562499993e-08,9.717503750000001e-08,1.5752706250000005e-07,2.00133265625e-07
36,36.0,2.4387046875e-12,1.5111345625000002e-08,8.35621475e-08,1.5252367499999998e-07,1.6416373031249998e-07
37,37.0,1.215070625e-12,1.3582108875000005e-08,7.2042449375e-08,1.316423053125e-07,1.767579375e-07
38,38.0,1.3772709375e-12,1.0684123968750001e-08,6.624396562499998e-08,1.2595767125e-07,1.472887690625e-07
39,39.0,1.9119109375e-12,1.1279860625e-08,6.808165312500001e-08,1.2477778750000003e-07,1.7009252187499996e-07
40,40.0,2.0981512500000002e-12,1.34114765625e-08,7.476825625e-08,1.3867196156249997e-07,1.75163e-07
41,41.0,2.8272556249999997e-12,1.4589856843749997e-08,1.0238102999999999e-07,1.7104264374999998e-07,2.03780334375e-07
42,42.0,2.3545743750000002e-12,1.28742084375e-08,6.855191999999999e-08,1.42697815e-07,1.8477903531249998e-07
43,43.0,2.7339596874999996e-12,1.3834093437499996e-08,8.437558125e-08,1.5265043749999995e-07,1.77118409375e-07
44,44.0,2.8944934374999997e-12,1.7317508125000006e-08,9.363145000000002e-08,1.5672275312499998e-07,1.9141899062499998e-07
45,45.0,9.165646875e-13,1.0129177874999998e-08,5.7445784374999996e-08,1.0103583749999996e-07,1.2397655937499998e-07
46,46.0,4.7687e-13,1.1887661875000001e-08,7.102998437500002e-08,1.2106944375e-07,1.6153241874999995e-07
47,47.0,7.890321875e-13,1.035284159375e-08,6.4798004375e-08,1.1853059468750001e-07,1.4524028437500003e-07
48,48.0,7.555975000000001e-13,6.2823062500000005e-09,5.5893353125000013e-08,8.455006437500001e-08,1.15136725625e-07
49,49.0,1.3198400000000002e-12,7.105118000000001e-09,4.6642784375e-08,8.362994665625e-08,9.34974184375e-08
50,50.0,9.815693749999999e-13,9.057192656249997e-09,6.12153865625e-08,1.0661289000000003e-07,1.30978134375e-07
51,51.0,5.537653125e-13,6.7198159687500016e-09,5.1163349875e-08,8.37524934375e-08,1.1480725718749998e-07
52,52.0,1.1381940625e-12,7.2424584375e-09,5.595275718749999e-08,1.0317109156250001e-07,1.3036900621875e-07
53,53.0,3.715934375e-13,7.839325000000001e-09,5.9422572187499985e-08,9.621431750000002e-08,1.3555486071875e-07
54,54.0,1.8786153124999996e-12,7.5565684375e-09,5.490296218750001e-08,8.742228759374999e-08,1.2402852093750002e-07
55,55.0,1.086515e-12,9.7742275e-09,6.662883750000001e-08,1.0760284687500001e-07,1.320240625e-07
56,56.0,1.169740625e-12,1.0834752500000001e-08,6.586327812499998e-08,1.1391104062500002e-07,1.3510041875e-07
57,57.0,2.7680031249999997e-13,6.028109375000002e-09,4.4392140625e-08,7.573490937500002e-08,9.9279696875e-08
58,58.0,5.003275e-13,7.39538584375e-09,4.4726140624999994e-08,8.058635312499999e-08,1.0777567812499998e-07
59,59.0,1.188521875e-13,5.80392265625e-09,3.8552698749999994e-08,5.89214625e-08,8.492933062500003e-08
60,60.0,2.909134375e-13,4.89226703125e-09,3.1241876875e-08,6.256010568749999e-08,8.339064625e-08
61,61.0,2.772625e-13,4.0206716875e-09,2.9172891875000004e-08,5.7585602500000004e-08,7.280674865625002e-08
62,62.0,6.337543749999999e-13,6.12321471875e-09,3.4654957343749996e-08,6.307892718750001e-08,8.421632587499997e-08
63,63.0,1.322975e-13,3.80275034375e-09,3.576087690625e-08,8.2142815625e-08,1.0292023324999997e-07
64,64.0,0.0,4.947283562499998e-09,2.86466695625e-08,5.8088153125e-08,7.5152964375e-08
65,65.0,0.0,5.7197324375e-09,3.9348158125e-08,7.337646781249999e-08,9.088092125000001e-08
66,66.0,3.23894375e-13,6.204363187499999e-09,4.626462109374999e-08,8.42911390625e-08,1.1775295874999998e-07
67,67.0,2.5409156249999997e-13,6.2859879999999995e-09,4.558005124999998e-08,7.923361562500002e-08,1.0201264875e-07
68,68.0,6.45186875e-13,5.95702584375e-09,4.541859875e-08,7.9365684375e-08,9.854638093750003e-08
69,69.0,5.128334375e-13,7.063476875e-09,4.492288875e-08,8.280144375000001e-08,9.154223124999998e-08
70,70.0,0.0,4.57446615625e-09,3.04364315625e-08,6.5417004375e-08,8.6805203125e-08
71,71.0,1.1625125e-13,3.8786843749999994e-09,3.6523966562499995e-08,6.338879990625e-08,7.792714062499999e-08
72,72.0,0.0,4.8306775625e-09,3.8102889375e-08,6.711081218749998e-08,8.144362390624998e-08
73,73.0,0.0,3.1691142812499994e-09,2.580790165625e-08,5.3819582500000016e-08,7.462454031250001e-08
74,74.0,1.275e-13,2.2151436249999998e-09,1.9172859031249997e-08,4.10266034375e-08,6.874873531250001e-08
75,75.0,1.4830625e-13,2.925657375e-09,3.1372348031250006e-08,5.86186465e-08,7.216439406249999e-08
76,76.0,0.0,2.6009805312499997e-09,1.25143244375e-08,4.0410497718750005e-08,5.443403531250002e-08
77,77.0,1.83410625e-13,3.2435975937500002e-09,2.401107393750001e-08,4.8102516249999996e-08,6.809204000000001e-08
78,78.0,0.0,3.07294521875e-09,2.4574200625e-08,4.6711624406250006e-08,7.178342499999998e-08
79,79.0,0.0,2.0122135312500004e-09,2.0635386968749997e-08,4.422059625000001e-08,6.925194509374998e-08
80,80.0,0.0,5.0050233749999996e-09,3.49410641875e-08,6.64196315625e-08,7.907348156249998e-08
81,81.0,2.709203125e-13,3.752635750000001e-09,3.1721855625e-08,6.344816656250002e-08,7.09057246875e-08
82,82.0,1.384475e-13,2.1362335625000003e-09,1.5443300187500002e-08,4.463581624999999e-08,5.7352759062500004e-08
83,83.0,0.0,2.42614540625e-09,1.6661830687500002e-08,3.522061312500001e-08,4.9946557812499995e-08
84,84.0,3.50421875e-13,1.4384336249999999e-09,1.476670209375e-08,2.9645989062499993e-08,4.2037666249999996e-08
85,85.0,0.0,1.02097109375e-09,2.195238715625e-08,3.51922363125e-08,5.5942327499999996e-08
86,86.0,4.170396875e-13,1.27157653125e-09,1.8970266687500002e-08,3.2579776000000006e-08,5.01335915625e-08
87,87.0,0.0,2.1758589687499995e-09,2.07238789375e-08,3.464428031249999e-08,4.327472781250001e-08
88,88.0,0.0,1.935638625e-09,1.163053940625e-08,3.3656874437499996e-08,4.2326247531250006e-08
89,89.0,5.03903125e-13,2.7590251874999996e-09,1.7391361375e-08,4.337714396875001e-08,5.443677e-08
90,90.0,1.076753125e-13,2.35704746875e-09,1.8531836718750003e-08,4.3647582468750006e-08,5.728398624999999e-08
91,91.0,0.0,1.5488528125000002e-09,1.66616761875e-08,3.688081375000001e-08,4.918165528125001e-08
92,92.0,0.0,1.94535584375e-09,1.62377715e-08,2.8252613906249997e-08,4.21659259375e-08
93,93.0,0.0,1.09259803125e-09,9.945987562499998e-09,2.8500727812500004e-08,3.77352334375e-08
94,94.0,0.0,2.1216766875000005e-09,1.2396963124999999e-08,2.8013758906249998e-08,4.4890707187500005e-08
95,95.0,1.46991875e-13,1.76685325e-09,9.749195125000003e-09,2.34720078125e-08,3.14671985e-08
96,96.0,0.0,8.08092875e-10,1.8058287499999996e-08,3.02609945e-08,5.04650440625e-08
97,97.0,0.0,5.6941003125e-10,9.532857437499999e-09,1.9834836499999994e-08,2.4691281562499998e-08
98,98.0,0.0,1.54701059375e-09,1.247001525e-08,1.8160073531250004e-08,3.239077390625e-08
99,99.0,0.0,1.6105790937499999e-09,9.9952219375e-09,2.6856171093749998e-08,3.2349446781250003e-08
100,100.0,0.0,9.4212159375e-10,6.750424406249999e-09,1.25083191875e-08,1.7348673281249998e-08
101,101.0,0.0,1.1602218749999997e-09,1.4237429249999999e-08,2.1881911875e-08,3.2242805437499995e-08
102,102.0,0.0,8.5871265625e-10,1.6373143874999996e-08,3.3875961250000003e-08,3.9130275624999994e-08
103,103.0,0.0,6.9520928125e-10,1.0120436593750001e-08,2.29871428125e-08,2.8096469437499998e-08
104,104.0,0.0,8.378385625e-10,7.38449209375e-09,2.0630582781250003e-08,2.26366983125e-08
105,105.0,0.0,9.788985937500003e-10,7.79427321875e-09,1.0798354937499999e-08,1.0305287749999999e-08
106,106.0,0.0,1.5541912499999998e-09,1.4085445593749998e-08,2.6512766968750002e-08,3.3524135625000005e-08
107,107.0,0.0,1.0918365312499999e-09,1.021732453125e-08,1.51178556875e-08,2.3729992812499995e-08
108,108.0,0.0,6.720407499999999e-10,8.522600093749998e-09,2.09347046875e-08,3.9933328593749995e-08
109,109.0,0.0,1.0852605625e-09,4.195190125e-09,1.1843941343749999e-08,2.1578688625e-08
110,110.0,0.0,8.919633749999999e-10,1.0084794156249998e-08,2.261284865625e-08,2.5202042499999998e-08
111,111.0,0.0,1.19010440625e-09,1.2523826875e-08,2.4592170374999995e-08,3.205114590625e-08
112,112.0,0.0,2.2744375e-10,3.56035425e-09,7.35717453125e-09,2.24392494375e-08
113,113.0,0.0,1.3928985624999998e-09,8.378109937499999e-09,2.1478283062499997e-08,2.3821401406249996e-08
114,114.0,0.0,1.11915478125e-09,4.732360375e-09,1.0004793374999999e-08,1.5788728843750002e-08
115,115.0,0.0,5.4715e-11,1.6221882187500001e-09,8.6715496875e-09,2.5532025687500004e-08
116,116.0,0.0,1.35654125e-10,3.7684364375e-09,9.8882003125e-09,1.4594707812500002e-08
117,117.0,0.0,0.0,4.833452312500001e-09,2.1991093125000005e-08,2.89026684375e-08
